rating,title,content
4,Good phone but expensive,"I got this after using multiple Samsung and Google phones, all of which had their own issues. After using it for some time, here are my impressions with both good and not so good parts.<br><br>Good parts:<br><br>- The build quality is good, the phone feels great in hand and has some weight to it, unlike phones like Google Pixel 5 which feels like a cheap toy. You can also watch video by JerryRigEverything, this phone does not bend easily with very strong frame.<br><br>- The display quality is good, especially pixel density, which is 525 ppi. I have tried phones with lower pixel density such as Pixel 5, they're ok if your vision is good but if you have nearsightedness and have to use phone close to your face you will easily notice individual pixels on phones with lower pixel density. On OnePlus 9 Pro you will not have this issue.<br><br>- The OS is better than on Samsung phones. It is close to stock, there is no bloat like on Samsung phones, many apps can be uninstalled except apps like Gallery or Netflix. It is close to Pixel phone OS, except the launcher on OnePlus is better than Google's own launcher because you can do more customizations like remove Google search bar (I don't use it) or remove stock widget from home screen (you can't do this on Pixel phones unless you will use different launcher) or do more customizations in terms of adding different icons or changing colors. OnePlus also uses stock Google dialer and messages apps, they are much better than Samsung's apps because they filter spam much better and Google's dialer has integrated visual voicemail (this feature depends on your provider, it works on Verizon but might not work with some other provider) and Google's messages app has support for RCS messaging which you can enable even if your carrier does not want to. You can also customize features such as adding black bar on top of display to hide front camera, something that Samsung used to allow but then they disabled this feature in One UI 3. The OnePlus launcher also looks better from visual point of view compared to Samsung's One UI - Samsung really overdid ""rounded corners"" on every pop-up message box and every menu in their phones, I really dislike it. OnePlus launcher has much less pronounced ""rounded corners"" in menus and message boxes which look better and hopefully something that OnePlus will never change.<br><br>- The fingerprint reader works good for me, much more reliable than what I have seen on Samsung phones with their under display fingerprint readers. Just be aware that third-party screen protectors may interfere with it.<br><br>- The cameras produce good photo quality, especially after latest updates. Initially the photo quality was pretty poor as you can see from all old reviews, but OnePlus has released many updates which increased the photo quality to good levels. It's still not as good as on Pixel phones but very close and with more updates will probably get even better.<br><br>- The battery life is good after all recent updates. Both the standby and use time with display on are pretty good and better than similar models from Samsung. This will probably get even better with more updates by OnePlus.<br><br>Not so good parts:<br><br>- The phone is pretty expensive, especially without good trade-in programs. You can find Galaxy S21+ for cheaper price, especially with great trade-in program that Samsung offers.<br><br>- The phone still has some software bugs which are not fixed, such as bugs with bluetooth which affects some people or bugs with automatic brightness adjustment. All of those will probably fixed with future updates but the phone should not have been released with those bugs.<br><br>- The phone has SnapDragon 888 processor, it is known for high power consumption which creates high heat output. It affected many phones including phones from Samsung and also affected this model. The manufacturers are still trying to adjust this processor's power consumption in their phones, Samsung already does it well but OnePlus has not reached their level yet. You may still see overheat warnings on this model if you live in a warm climate and do things like filming 4k video at high fps. I personally hasn't experienced it but you may find other examples of it. This is something you need to be aware of before buying it."
5,Stellar phone!  DOES NOT WORK ON SPRINT!,"This is a fabulous phone, and why it gets 5 stars.  Scren is great.  Fingerprint and face unlock is great.  Super fast on 5G.  I'm very happy now that I have gotten it to work.<br><br>But a couple of warnings:<br><br>If you are a Sprint customer who thinks you are a T-Mobile customer, you are NOT!  You are still on the Sprint telecommunications network, even though you are able to also use the T-Mobile towers.  This phone, no matter what you do, WILL NOT ACTIVATE on the Sprint network.  Not even in any kind compatibility mode.  Sprint's activation and registration software and systems identifies this phone as a FOREIGN device and there is NO WAY to activate the IMEI number range this phone has been assigned on the Sprint network.  Don't waste your time trying!  I tried 3 different ways.  Not happening!<br><br>The only way I could get the phone to activate was to open up a T-Mobile account and transfer my number over.  If you are a single phone line Sprint customer and do not have any balance owed on your<br>phone, this is an easy thing to do.  And you should do it.  The phone activates instantly on the T-Mobile network.<br><br>But if you have any balance on your Sprint account for any of your active lines, you will need to pay all of those balances off to zero them before you can move over to T-Mobile.  Again, another wonderful side affect of the Sprint and T-Mobile accounting systems not yet being compatible.<br><br>Again, if you have been a Sprint customer, you are not yet a T-Mobile customer.  Not until you have switched your account.  At this point, this has to be done by you.  And can not be done if you still have outstanding balances (lease, payments) for your phone on Sprint.  T-Mobile is not doing this automatically yet.  The Sprint phone support I talked to said that there may be some work starting offering deals to get Sprint customers converted over the holidays.  So look for that.<br><br>Lastly, two days after I bought the phone, Amazon lowered the price by $100.  I chatted with the Amazon Customer support team to see if I could get a refund of the difference in prices.  Again, NOT HAPPENING!  It's not in Amazon's customer service policy to refund differences in prices for your purchases when they happen in just a 2 day period.  I could understand a longer duration, like 5 or more days.  But TWO DAYS?  Really?  I have had experience with a large number of brick-and-mortor retailers that would happily refund the difference in purchase price when an items prices are reduced shortly after purchase.  So, be warned that Amazon does not have a customer service policy like this and seems to not have any way to offer a customer pleasing exemption.<br><br>I guess I could take some comfort in the idea that my non-refunded $100 could go towards more rocket fuel for Jeff Bazos' next trip into space."
3,Not what I was hoping for but it's ok.,"As a long time fan of the OnePlus brand and owner of the OP 1, 3, 6, 7 pro and now 9 Pro, I find this model to be wanting and somewhat unimpressive. I've been using this for over 2 months and here is my review especially when compared to the OP 6 and 7 pro.<br><br>Design - nice finish, smooth and a bit slippery but I have it in a case now. It's a lot heavier and bulkier than I expected.<br><br>Display - excellent<br><br>Sound: Speakers - very loud, crystal clear and impressive quality and surround sound.<br>Sound: Earbuds (wired and wireless) - not as good as the OP6 possibly due to the usb-c and wireless (I use sony wired and wireless headsets).<br><br>Camera - The Hasselblad is excellent quality for near and far images. Excellent photo and video quality.<br><br>Gaming: very fast and smooth with no visual lag<br><br>Battery life: less than I expected as I get the same from my OP6 and 7. I was expecting a lot more hours as I have even less apps installed.<br><br>Dual sim: disappointing. I ordered the US version as I'm in NY an all previous models were dual sim however this US version does not have dual sim. While I understand this to be more due to regulation and not the fault of OP, I think this should be explicitly stated in the title as I now have to use 2 phones and will be giving up this one for the 10 pro this week.<br><br>Overall performace: good. Phone is fast but not much faster than the OP6 with less cores, RAM and storage.<br><br>OS: it's ok but nothing to really stand out. The OS and feel are exactly the same as the older models. No exclusive apps but I guess that lessens the bloatware.<br><br>Call clarity: very good<br><br>Overall Pros - display, sound (only via built-in speakers), amazing camera.<br><br>Overall Cons - bulky, heavy, no dual-sim and less than impressive audio and volume using wired and wireless headsets.<br><br>I've purchased the OP 10 Pro and will give an opinion compared to the OP6 and OP 9 Pro. Cheers."
3,Not what I ordered,"I ordered this phone expecting it to be the LE2125 model, as listed in the description.  What I received was a model number LE2127.  The LE2125 is the factory unlocked model while the LE 2125 is a T-Mobile phone that was unlocked.  First of all, the LE2127 has the T-Mobile bloatware and the T-Mobile boot animation but more importantly, they have different 5G bands and capabilities.  This is shown in the attached image.  The LE2125 is on the left and it supports 9 of the 10 5G bands.  The LE2127 is on the right and it only supports 7 of the 10 5G bands.  (The image shows 17 supported bands for the LE2125 and 8 for the LE2127 but I think the difference is due to bands not available in the US, but I'm not sure).  I wanted the OnePlus 9 Pro with the greatest 5G band compatibility, which is the LE2125, but that is not what I received.<br>On the plus side, the phone is in very nice condition for a refurbished phone and seems to be working as intended.  I'll update this if I notice any other issues."
2,"I chose this phone because it has a physical ""ring-vibrate-silent"" switch - but it doesn't work!","I am frequently in places where I don't want the phone to ring and the physical slide switch on the side of this phone was what convinced me to buy this particular phone.  However, the switch does not work - any alarm I have set will cause the phone to sound the audible alarm even when the phone is set to ""silent mode"".  When I set the switch to silent, the phone screen confirms that it is on silent mode, but the alarms still sound.<br><br>Even if I POWER DOWN the phone, the phone will turn on by itself and sound the alarm tone when the time for the alarm occurs.  Obviously there is no way to actually turn this phone off.  If I could remove the battery I would but that's not practical every time I go into a doctor's office.<br><br>I have been in contact with tech support and they have not been able to correct this major defect.  In fact, both of the times they made suggestions regarding what to do, their instructions for what to change in my settings do not apply to my phone.  They tell me what screen to go into and what setting to change, but that setting does not exist on my phone.<br><br>So, zero stars for OnePlus tech support."
5,Found my Nexus replacement,"Have you ever fallen in love with something only to see the manufacturer discontinue it.  (If you are a Google user then - yes, you would know:-).<br> I was a huge fan of the Nexus phones from Google and it broke my heart when they discontinued the series in favor oF the pixels.  I've been in search of a replacement ever since having tried Samsung, LG and even a Pixel3xl.  The Pixel was nice in the beginning  but endless updates from Google made the phone so unstable that I started looking around again.<br>This One+ 9 Pro is finally the phone I was looking for. Sleek, great screen, fast and once in a proper case, very comfortable to handle (without case it is too slick for me).<br>I got the wireless warp charger for it (~$35) and boy... it charges the phone from 15% to 100% in 20 minutes.  I've never seen anything like that.  The battery lasts me 2 days and I do use it a lot, albeit, probably not as much as the younger generation. The cameras are awesome.  Great quality pictures and videos (without jerking).<br>The only thing that I wonder about is the update frequency of the OS.  It's been almost 6 months since Android 12 was released and the manufacturer is still only on 11.  I'd like to think that they do more testing than Google to avoid the problems that caused me to loose faith in the Pixel3XL in the first place.<br>My phone is a version LE2125 (unlocked on Verizon).  Transferring my data from the old phone was a breeze via Bluetooth.<br>(Edit: just a few days later, the android 12 update came down)"
3,"Don't be me, save yourself a ton of struggle","Don't buy this from a third party seller, if you are looking for a ton of headache go for it...<br><br>I bought this phone from the micarte (I think that's how you spell it) seller and it was labeled north American version. It was not, not even a little bit was it the American version of the one plus 9 pro..<br><br>The one plus 9 pro (us spec) only had one sim. I had to run the model number through countless Google searches and three different cell carries before I got the phone to work, and work is a loose word. I have no service in places my one plus 6 did, I love the phone but the experience was and still is a disaster.<br><br>The display is wonderful, it's snappy, and takes amazing pictures, it charges super fast, and self optimizes charging durning the night it's actually an amazing phone. Just watch out on third party sellers."
5,"Solid choice, just missing past options that made great phones years back.","The build quality is solid, and premium feeling in the hand. It has some weight to it, but is still less than say an iPad Mini.<br><br>Performance wise, I have been able to play some Guitar Hero 3 for Wii (using the right adapters of course) in Dolphin - surprisingly solid performance and now capable of jamming while on the road. Standard mobile games and most applications will not stretch the specs on this one, but emulators definitely will. I have paired this with an amazingly thin case and the Razer Kishi controller for the ultimate emulation and streaming beast on the go.<br><br>My choice came down to price, as I was originally going to go with the Sony Xperia 1 III. That choice also lost me some options in the process such as the awesome 3.5mm jack and DAC combo, and the micro SD slot (I have multiple ranging from 128GB to 1TB for storage away from my server (away from civilization)). Sony is the only top end option for those points but at nearly double the price that I bought the OnePlus 9 Pro at. 256GB of storage will be a little thin for my uses but I can manage.<br><br>TL;DR - for the price, this is the best top-end phone of 2021. Emulation, photography, and overall performance and longevity make this one hard to beat."
3,Battery life is deal killer. Charges insanely fast.,"Several gripes: The battery life is poor.  Barely gets through the day.  It charges insanely fast, but still, the battery life is a serious disappointment.<br><br>Another gripe is when the phone updates, it messes up the screen / app layout.  Just when you get everything laid out nice...<br><br>Camera and video is very good.<br><br>In summary, battery life is a deal killer.  The phone itself is overkill to a large degree factoring in the price.  I think there are other less expensive phones just as good from a practical perspective, like one of the Google pixel phones. I bought one for my son when I got this, and his is thinner smaller, better battery."
3,battery life,"Not bad! Already have problem when I first day turn on the device. The battery went down so fast so I have to reset the phone, but after I reset the phone it goes well."
5,I kinda love this phone.,"I spent way too much time comparing phones, Samsung S22, iPhone 13 etc. Even compared to other Oneplus models. The One plus 9pro had the best specs or close to best on all the things I care about. The gaming mode kicks in seamlessly, haven't really challenged the camera yet but pleased so far. Streaming on Hulu etc is good and the sound quality and volume is excellent. Rather watch on here than my gaming laptop or smart TV."
5,Check your version of you bought here!,They are selling Chinese versions as US versions! Check your RAM you should have 12gb that is US version. If you only have 8gb you have a Chinese version which will work with most carriers in US so it can fool a person. The US version should work with all carriers so if your having issue with it working and can't figure out you prob have Chinese. ..ALSO if you use the Alexa app or smart devices connected to Alexa DO NOT BUY THIS PHONE either version. One plus did an update that now Alexa app will not open just freezes and crashes. Been this way for 2 months now. Amazon rep tried to figure it out with me for about an hour. I've tried numerous different things including factory dam reset and nothing. It's an update one plus did it's a problem talked about on there forums by phone owners and one plus will not acknowledge it.
1,Absolute junk for the price,"**This review has been deleted by amazon or oneplus 5 times.**<br><br>This is a complete bait and switch. The device is sold with Oxygen OS (android 11), but a recent update delivered as a ""standard security update"" completely wipes the device, changing the OS to ColorOS (which is inferior and lacks features that Oxygen has).  The user is given zero warning  about this update, and it is sold as simply moving the android security update to the 03/2022 release.  It is infact a complete OS change.<br><br>Features you lose:<br>1.  Ability to remove some oneplus' bloatware<br>2.  Ability to rename applications/disable<br>3.  Paid apps fail to launch in the new Android 12 ""color os"" (These are up-to-date apps certified to work with Android 12 that fail in OnePlus's junk ColorOS, which is the cannibalized OS used in their Chinese products (brought in when they were purchased/merged with Oppo)<br>4.  The OS lacks substantial features present in in the version this product is sold with. Headphones, camera, and bluetooth audio all failed with legitimate (and previously working) apps.<br>5.  The OTA (over the air) update that changed Oxygen to ColorOS also deleted several personal files (desktop wallpaper, and files in the root of the phone outside standard directories).<br>6.  Battery life is worse after the update as well.  It was already pretty terrible (see other reviews here).  This device drinks power and will require multiple recharges a day if you use the high resolution display / high refresh rate.<br><br>This is relevant to Amazon purchasers, because you will be sold a device that appears/functions one way, and then magically overnight, an update will cripple the device.  You can revert the update, but it is not trivial (a factory reset will not save you)<br><br>Amazon will likely delete this review again, even though I am a verified purchaser.  The critique of this phone is fair and honest. If OnePlus cared about its customers, it would address the egregious trust violations in their system update (and acknowledge the horrible battery life of the device).  Instead, Amazon and OnePlus will likely simply continue to delete my review."
3,Not a dual SIM,"The phone works fine, however I left in the box several months before using and at that time realized when I needed it is only takes 1 SIM and I needed the phone for travel and 2 SIM cards, so unfortunately the phone does not work for the purpose it was purchased for dual SIM card.  On the Amazon site clearly states dual SIM.  Phone works fine, just does not allow 2 SIM cards.<br><br>most people probably fine but for travel i needed dual SIM."
5,Easy excellent android,"Replaced a Google pixel 6 (tons of connectivity problems) with this OnePlus 9 pro, and hallelujah this android actually works! Speed, good layout, pretty good camera, reliablility, all make it a winner. For some reason I don't understand the battery drains quickly. But the lightening charger that is included recharges incredibly quickly too. So far everything works perfectly."
3,No option for 'cellular preferred' calling,Wi-Fi has to be turned off to make calls and then turned back on to use the internet. All day...
3,good phone and great charger,The phone has worked just as expected. works super fast. charges fast when plugged into the box charger. the only issue is the charging box went out after only 2 months and already needs replaced which is disappointing but at least it wasn't the phone.
4,Android 12 has bugs,"Super fast connections, long battery life, awesome camera &amp; the fastest charge I've ever seen."
5,Perfect condition,Perfect condition without the pretty Oneplus box.<br>Upgraded from a Oneplus 8 Pro.<br>Works perfectly.
5,I got the US version,"I was concerned about the reviews saying they were sent the Chinese version with ColorOS and only 8GB of RAM.  But I really needed a new phone ASAP after destroying my OnePlus 7 pro.<br><br>I'm happy to say that I got my 9 pro less than 24 hours after ordering it and it's definitely the US version.  It's a nice phone, super-fast and very familiar after the 7 pro.<br><br>I had no problem unlocking the bootloader and rooting it.  Everything works great."
5,Extremely happy with my purchase,The quality of the product is on point. I think they should charge more to be honest.
5,great phone,"great phone, the 65 watt charger is awesome and fast"
5,"9 pro, great phone","Bought for my wife, she loves the phone.  Not sure about the difference in the chip vs the gen 1, but the 9 pro received great reviews and the price better than the 10 pro.  Now the 10 comes with the 256/12gb, took too long.  I think the 9 pro is all gone now, but glad I got it for my wife."
4,Still some issues on AT&amp;T. Great camera.,"After a couple of days I'm happy with the phone.  It was not on AT&amp;T's list of compatible devices, so I had to make a long phone call so they could do a workaround for this unlocked device to get it working on their network.<br>So plan on making a phone call if you are on AT&amp;T.<br>I did have it give me an overheating warning for a few minutes when I had a few apps open. That quickly cleared up though.<br>I went hiking the other night and loved the photos it produced. The zoom lens is cool."
3,"Good smart phone, can be much better.","Good smart phone, can be much better but it is too quirky compared to others like Samsung or even Huawei before the US ban.  As an example, the location of the volume and power buttons is such that I constantly take unexpected screen shots.  Solid fingerprint, face recognition is fine, camera is good but not as good as others specially with the Hasselblad partnership. For the price is a solid SP that can be much better."
4,Works as advertised,"Charges extremely fast only problem was when I put protective shield on the screen the screen became less responsive, but that may have been because of the hard cover"
3,Single Sim and not Dual Sim,"Hello,<br>The description shows it as Dual Sim device.<br>I received a single sim. very disappointed.<br>Realized a month or so after delivery<br>If you need dual Sim get the Uk/International version also vendor should change the product details as this caused an expensive purchase and inconvenience"
5,Espectacular,Chavaaaal flipo
